,Date,Open,High,Low,Close
702,2015-03-06,80.9,81.33,79.83,80.005
701,2015-03-05,81.23,81.99,81.05,81.21
700,2015-03-04,79.3,81.15,78.85,80.895
699,2015-03-03,79.61,79.7,78.52,79.6
698,2015-03-02,79.0,79.855,78.52,79.75
697,2015-02-27,80.68,81.23,78.62,78.97
696,2015-02-26,79.88,81.37,79.72,80.41
695,2015-02-25,78.5,80.2,78.5,79.56
694,2015-02-24,78.5,79.48,78.1,78.45
693,2015-02-23,79.96,80.19,78.38,78.84
692,2015-02-20,79.55,80.34,79.2,79.895
691,2015-02-19,76.986,79.84,76.95,79.42
690,2015-02-18,75.94,76.9,75.45,76.71
689,2015-02-17,75.3,76.91,75.08,75.6
688,2015-02-13,76.46,76.48,75.5,75.74
687,2015-02-12,76.86,76.87,75.89,76.23
686,2015-02-11,75.09,76.75,75.03,76.51
685,2015-02-10,74.85,75.34,74.5,75.19
684,2015-02-09,74.05,74.83,73.45,74.44
683,2015-02-06,75.68,75.7,74.25,74.47
682,2015-02-05,75.71,75.98,75.21,75.615
681,2015-02-04,75.09,76.35,75.01,75.63
680,2015-02-03,75.19,75.58,73.86,75.4
679,2015-02-02,76.11,76.14,73.75,74.99
678,2015-01-30,78.0,78.16,75.75,75.91
677,2015-01-29,76.85,78.02,74.21,78.0
676,2015-01-28,76.9,77.638,76.0,76.24
675,2015-01-27,76.71,76.88,75.63,75.78
674,2015-01-26,77.98,78.47,77.29,77.495
673,2015-01-23,77.65,78.19,77.04,77.83
672,2015-01-22,77.17,77.75,76.68,77.65
671,2015-01-21,76.16,77.3,75.85,76.74
670,2015-01-20,75.72,76.31,74.82,76.24
669,2015-01-16,74.04,75.32,73.84,75.18
668,2015-01-15,76.4,76.57,73.54,74.05
667,2015-01-14,76.42,77.2,76.0291,76.28
666,2015-01-13,77.23,78.08,75.85,76.45
665,2015-01-12,77.84,78.0,76.21,76.72
664,2015-01-09,78.2,78.62,77.2,77.74
663,2015-01-08,76.74,78.23,76.08,78.175
662,2015-01-07,76.76,77.36,75.82,76.15
661,2015-01-06,77.23,77.59,75.365,76.15
660,2015-01-05,77.98,79.2455,76.86,77.19
659,2015-01-02,78.58,78.93,77.7,78.45
658,2014-12-31,79.54,79.8,77.86,78.02
657,2014-12-30,79.85,80.59,79.1,79.22
656,2014-12-29,80.49,80.96,79.71,80.02
655,2014-12-26,81.02,81.28,80.51,80.775
654,2014-12-24,81.03,81.43,80.75,80.77
